spotify_id,name,artists,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
7fveJ3pk1eSfxBdVkzdXZ0,Cowgirls (feat. ERNEST),"Morgan Wallen, ERNEST",33,-1,6,US,2024-10-09,84,False,181621,One Thing At A Time,2023-03-03,0.621,0.779,8,-3.777,1,0.0361,0.216,8.62e-06,0.165,0.399,172.037,4
6MzofobZt2dm0Kf1hTThFz,Diet Pepsi,Addison Rae,34,0,16,US,2024-10-09,87,False,169697,Diet Pepsi,2024-08-09,0.669,0.561,10,-6.538,1,0.0411,0.495,0.00962,0.0954,0.841,150.069,4
51eSHglvG1RJXtL3qI5trr,Slow It Down,Benson Boone,35,0,8,US,2024-10-09,88,False,161831,Fireworks & Rollerblades,2024-04-05,0.432,0.583,8,-4.682,1,0.0687,0.174,0.0,0.0933,0.544,181.489,4
7FOgcfdz9Nx5V9lCNXdBYv,Red Wine Supernova,Chappell Roan,36,-3,1,US,2024-10-09,87,True,192720,The Rise and Fall of a Midwest Princess,2023-09-22,0.657,0.82,9,-4.448,1,0.0441,0.0176,0.0,0.0847,0.709,124.041,4
42VsgItocQwOQC3XWZ8JNA,FE!N (feat. Playboi Carti),"Travis Scott, Playboi Carti",37,-7,9,US,2024-10-09,89,True,191700,UTOPIA,2023-07-28,0.569,0.882,3,-2.777,0,0.06,0.0316,0.0,0.142,0.201,148.038,4
6IPwKM3fUUzlElbvKw2sKl,we fell in love in october,girl in red,38,4,12,US,2024-10-09,86,False,184153,we fell in love in october / October Passed Me By,2018-11-21,0.566,0.366,7,-12.808,1,0.028,0.113,0.181,0.155,0.237,129.96,4
2aYZaN5SmkRDLsrrV8GkBQ,LA PATRULLA,"Peso Pluma, Neton Vega",39,1,3,US,2024-10-09,86,True,130614,ÉXODO,2024-06-20,0.722,0.74,6,-7.22,0,0.063,0.68,3.27e-05,0.176,0.893,132.731,3
0CFhbNsY7CsuSkBQOiLPzz,Or What,"NLE Choppa, 41, Kyle Richh",40,6,10,US,2024-10-09,63,True,199165,SLUT SZN,2024-09-27,0.731,0.586,1,-7.564,0,0.172,0.116,0.0,0.0987,0.147,125.845,4
17phhZDn6oGtzMe56NuWvj,Lose Control,Teddy Swims,41,-4,-20,US,2024-10-09,90,False,210688,I've Tried Everything But Therapy (Part 1),2023-09-15,0.561,0.604,9,-4.409,1,0.0337,0.199,1.9e-05,0.104,0.242,159.92,3
5iJKGpnFfvbjZJeAtwXfCj,28,Zach Bryan,42,1,-11,US,2024-10-09,84,False,233333,The Great American Bar Scene,2024-07-04,0.492,0.519,7,-6.886,1,0.0288,0.227,8.47e-05,0.0693,0.435,80.868,3
3WOhcATHxK2SLNeP5W3v1v,Guess featuring Billie Eilish,"Charli xcx, Billie Eilish",43,7,-10,US,2024-10-09,90,False,143330,Guess featuring Billie Eilish,2024-08-01,0.776,0.667,7,-6.622,1,0.0983,0.0146,0.3,0.0761,0.618,130.019,4
7Fzl7QaTu47WyP9R5S5mh5,Lies Lies Lies,Morgan Wallen,44,1,-10,US,2024-10-09,84,False,198068,Lies Lies Lies,2024-07-05,0.486,0.702,1,-5.758,0,0.0298,0.239,7.54e-05,0.0912,0.382,81.053,4
5AH31dDNgxCMGDdxubNNn4,NEL,Fuerza Regida,45,5,3,US,2024-10-09,87,True,149073,PERO NO TE ENAMORES,2024-07-25,0.69,0.482,7,-6.335,0,0.2,0.523,0.0004,0.0728,0.356,100.029,4
2Dct3GykKZ58hpWRFfe2Qd,Heading South,Zach Bryan,46,-5,-6,US,2024-10-09,84,True,171692,Heading South,2019-09-30,0.68,0.246,4,-14.112,1,0.058,0.783,0.0,0.106,0.388,110.23,4
7K3BhSpAxZBznislvUMVtn,Last Night,Morgan Wallen,47,-3,3,US,2024-10-09,81,True,163854,One Thing At A Time,2023-03-03,0.492,0.673,6,-5.431,1,0.0347,0.413,0.0,0.137,0.488,203.812,4
3siwsiaEoU4Kuuc9WKMUy5,No One Noticed,The Marías,48,2,2,US,2024-10-09,77,False,236906,Submarine,2024-05-31,0.705,0.339,7,-10.612,1,0.0278,0.552,0.0814,0.12,0.457,97.989,4
